"DistinguishedName","DNSHostName","Enabled","Name","ObjectClass","ObjectGUID","SamAccountName","SID","UserPrincipalName"
"CN=COD113,OU=Computadores,OU=Internacional,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD113.techlab.br","True","COD113","computer","644ac902-d5d0-4e27-a386-6945db73f7c4","COD113$","S-1-5-21-925037465-2226837016-4004537459-20766",
"CN=COD110,OU=Formatacao,OU=Computadores,OU=Infra,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD110.techlab.br","True","COD110","computer","8198f001-5cb8-4167-80b4-2ab6f2b15b03","COD110$","S-1-5-21-925037465-2226837016-4004537459-22264",
"CN=COD109,OU=Computadores,OU=Legislação e Pesquisa,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD109.techlab.br","True","COD109","computer","fe259c34-9b91-418b-8ae6-f60606aafa3a","COD109$","S-1-5-21-925037465-2226837016-4004537459-22265",
"CN=COD112,OU=Computadores,OU=Consultoria ESG,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD112.techlab.br","True","COD112","computer","0e14bfd5-ad39-45a5-91bd-7a59ab8f7101","COD112$","S-1-5-21-925037465-2226837016-4004537459-20768",
"CN=COD120,OU=Formatacao,OU=Computadores,OU=Infra,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD120.techlab.br","True","COD120","computer","e38985f7-d148-4a9c-830e-d27a4ec82949","COD120$","S-1-5-21-925037465-2226837016-4004537459-22266",
"CN=COD119,OU=Computadores,OU=Administrativo - Financeiro,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD119.techlab.br","True","COD119","computer","d497e131-ff39-4eff-a3ad-47a245509806","COD119$","S-1-5-21-925037465-2226837016-4004537459-20769",
"CN=COD118,OU=Computadores,OU=Diretoria,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD118.techlab.br","True","COD118","computer","21d05113-c212-4b28-9daf-b5b6e798180c","COD118$","S-1-5-21-925037465-2226837016-4004537459-20770",
"CN=COD117,OU=Computadores,OU=Internacional,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD117.techlab.br","True","COD117","computer","f66f248a-de2a-4e52-a909-ec1e426333a1","COD117$","S-1-5-21-925037465-2226837016-4004537459-22267",
"CN=COD116,OU=Computadores,OU=Compliance ESG,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD116.techlab.br","True","COD116","computer","adf1733c-bee0-42e4-b564-8a6bbf9ee520","COD116$","S-1-5-21-925037465-2226837016-4004537459-22268",
"CN=COD115,OU=Computadores,OU=Consultoria ESG,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD115.techlab.br","True","COD115","computer","fa7d338b-2d27-4270-b727-3f4e9e3d31fa","COD115$","S-1-5-21-925037465-2226837016-4004537459-20771",
"CN=COD-163,OU=Computadores,OU=Comunicacao,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD-163.techlab.br","True","COD-163","computer","059ec5bf-954d-49e3-acdd-cd9572b3863d","COD-163$","S-1-5-21-925037465-2226837016-4004537459-22269",
"CN=COD05,OU=Computadores,OU=Comercial,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD05.techlab.br","True","COD05","computer","ef7f9fc6-6586-4630-9f1f-9f76acca9382","COD05$","S-1-5-21-925037465-2226837016-4004537459-22270",
"CN=COD65,OU=Computadores,OU=Compliance ESG,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD65.techlab.br","True","COD65","computer","64393fdb-f8b4-46ee-a3ea-3c96ce6464de","COD65$","S-1-5-21-925037465-2226837016-4004537459-22272",
"CN=COD30,OU=Computadores,OU=Comunicacao,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD30.techlab.br","True","COD30","computer","72ceb401-7aef-44a2-b2d0-f07a3255c50d","COD30$","S-1-5-21-925037465-2226837016-4004537459-22273",
"CN=COD122,OU=Computers,OU=SNAPSE,OU=Terceiros,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD122.techlab.br","True","COD122","computer","9f9988af-2a73-444a-a5ce-1dc51112b7c2","COD122$","S-1-5-21-925037465-2226837016-4004537459-20804",
"CN=COD81,OU=Computadores,OU=Infra,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD81.techlab.br","True","COD81","computer","b5f2fb29-ad32-47c2-b1e8-61759f191152","COD81$","S-1-5-21-925037465-2226837016-4004537459-22291",
"CN=DSKAMB003,OU=Computadores,OU=Ambito,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","DSKAMB003.techlab.br","True","DSKAMB003","computer","92ffde57-2e1a-4306-bbb7-bd43984f49ec","DSKAMB003$","S-1-5-21-925037465-2226837016-4004537459-20833",
"CN=DESKTOP-MQMAN10,OU=Computadores,OU=Compliance ESG,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","DESKTOP-MQMAN10.techlab.br","True","DESKTOP-MQMAN10","computer","018fc45d-8045-41c7-a6dc-6db01f880075","DESKTOP-MQMAN10$","S-1-5-21-925037465-2226837016-4004537459-20843",
"CN=COD20,OU=Computadores,OU=DHO,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD20.techlab.br","True","COD20","computer","4ce553a4-f564-4d85-9c26-db02387ce6df","COD20$","S-1-5-21-925037465-2226837016-4004537459-22292",
"CN=COD121,OU=Computadores,OU=Suporte,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD121.techlab.br","True","COD121","computer","0cbc438c-fde2-4d0c-bbf9-f419ce25c13b","COD121$","S-1-5-21-925037465-2226837016-4004537459-20854",
"CN=COD98,OU=Computadores,OU=Suporte,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD98.techlab.br","True","COD98","computer","69ed5d25-f3fe-4c45-8cf5-9e02f044402d","COD98$","S-1-5-21-925037465-2226837016-4004537459-22293",
"CN=COD83,OU=Computadores,OU=Infra,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD83.techlab.br","True","COD83","computer","643b9cb1-9121-4f8b-a695-496a6a3053ce","COD83$","S-1-5-21-925037465-2226837016-4004537459-20858",
"CN=COD114,OU=Computadores,OU=Consultoria ESG,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD114.techlab.br","True","COD114","computer","f14e6da3-56d1-4d77-9aa5-dd49daaa63cb","COD114$","S-1-5-21-925037465-2226837016-4004537459-20859",
"CN=COD105,OU=Computadores,OU=Desenvolvimento,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD105.techlab.br","True","COD105","computer","662ffe94-5ba2-4f4f-8c6e-f3a369e76072","COD105$","S-1-5-21-925037465-2226837016-4004537459-20860",
"CN=MCHINE13,OU=Computadores,OU=Ambito,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","MCHINE13.techlab.br","True","MCHINE13","computer","8675e366-fa51-46bd-b8de-03fcf68a09f9","MCHINE13$","S-1-5-21-925037465-2226837016-4004537459-22302",
"CN=COD123,OU=Computadores,OU=Ambito,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD123.techlab.br","True","COD123","computer","1db57909-18de-409d-92a1-48d4c7c76cff","COD123$","S-1-5-21-925037465-2226837016-4004537459-20861",
"CN=COD178,OU=Computadores,OU=Comunicacao,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD178.techlab.br","True","COD178","computer","9cd0d015-31f4-4790-830a-15911ea32071","COD178$","S-1-5-21-925037465-2226837016-4004537459-20863",
"CN=COD124,OU=Computadores,OU=Consultoria ESG,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD124.techlab.br","True","COD124","computer","2c1c499b-c941-4d3a-8387-56931013aac8","COD124$","S-1-5-21-925037465-2226837016-4004537459-20868",
"CN=COD125,OU=Computadores,OU=Consultoria ESG,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD125.techlab.br","True","COD125","computer","f5f94e9e-40af-4b63-a285-1d127b1ba603","COD125$","S-1-5-21-925037465-2226837016-4004537459-22310",
"CN=COD79,OU=Computadores,OU=Consultoria ESG,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD79.techlab.br","True","COD79","computer","55913305-a251-4304-80ae-ac83f6e36ff8","COD79$","S-1-5-21-925037465-2226837016-4004537459-20872",
"CN=COD126,OU=Computadores,OU=Legislação e Pesquisa,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD126.techlab.br","True","COD126","computer","f335323e-0877-4cb5-bb73-08bc59488346","COD126$","S-1-5-21-925037465-2226837016-4004537459-22312",
"CN=COD127,OU=Computadores,OU=Diretoria,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD127.techlab.br","True","COD127","computer","285c9b0b-9cd6-479e-b49a-ee47c0e43ba0","COD127$","S-1-5-21-925037465-2226837016-4004537459-20873",
"CN=COD128,OU=Computadores,OU=Suporte,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD128.techlab.br","True","COD128","computer","56b88ac1-915f-4e84-849c-e2e65b1966b5","COD128$","S-1-5-21-925037465-2226837016-4004537459-20875",
"CN=COD129,OU=Computadores,OU=Suporte,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD129.techlab.br","True","COD129","computer","079de3d7-0806-42d6-b06c-aa9e51cd65dd","COD129$","S-1-5-21-925037465-2226837016-4004537459-22314",
"CN=COD130,OU=Computadores,OU=Suporte,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD130.techlab.br","True","COD130","computer","188dd7d6-ec1e-4956-857a-fd805d5ef8c9","COD130$","S-1-5-21-925037465-2226837016-4004537459-22315",
"CN=COD131,OU=Computadores,OU=Suporte,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD131.techlab.br","True","COD131","computer","f794c764-c5cf-4dac-8c57-6042dbdb140f","COD131$","S-1-5-21-925037465-2226837016-4004537459-20876",
"CN=COD132,OU=Computadores,OU=Consultoria ESG,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD132.techlab.br","True","COD132","computer","23a3924f-ff19-4d71-9626-85abd71f1727","COD132$","S-1-5-21-925037465-2226837016-4004537459-20878",
"CN=COD134,OU=Computadores,OU=Consultoria ESG,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD134.techlab.br","True","COD134","computer","e2d42684-ec60-4211-a41a-d7584df519a1","COD134$","S-1-5-21-925037465-2226837016-4004537459-22320",
"CN=COD133,OU=Computadores,OU=Consultoria ESG,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD133.techlab.br","True","COD133","computer","a1309648-1c6b-4fed-be23-3351a07300f5","COD133$","S-1-5-21-925037465-2226837016-4004537459-22321",
"CN=COD136,OU=Computadores,OU=Legislação e Pesquisa,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD136.techlab.br","True","COD136","computer","ea6a971f-8fe1-4ae3-9270-088ee4480347","COD136$","S-1-5-21-925037465-2226837016-4004537459-20883",
"CN=COD135,OU=Computadores,OU=Comunicacao,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD135.techlab.br","True","COD135","computer","6247c8e7-714d-49b0-826e-20422a490e25","COD135$","S-1-5-21-925037465-2226837016-4004537459-22322",
"CN=COD137,OU=Computadores,OU=Legislação e Pesquisa,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD137.techlab.br","True","COD137","computer","ad6d52ca-a1f4-45a7-8c70-76ef4e0241bb","COD137$","S-1-5-21-925037465-2226837016-4004537459-22323",
"CN=COD138,OU=Computadores,OU=Legislação e Pesquisa,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD138.techlab.br","True","COD138","computer","00482298-f5d0-430e-8efe-1286c79c317a","COD138$","S-1-5-21-925037465-2226837016-4004537459-20884",
"CN=COD139,OU=Computadores,OU=Diretoria,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD139.techlab.br","True","COD139","computer","67ee56d6-e8d1-4458-b443-b4894e4a1b02","COD139$","S-1-5-21-925037465-2226837016-4004537459-20888",
"CN=COD140,OU=Computadores,OU=Legislação e Pesquisa,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD140.techlab.br","True","COD140","computer","472daef4-8cdf-4684-9e81-cb210540cce8","COD140$","S-1-5-21-925037465-2226837016-4004537459-22326",
"CN=COD141,OU=Computadores,OU=Legislação e Pesquisa,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD141.techlab.br","True","COD141","computer","8bfbb105-9ab7-49ed-8281-4241298458c4","COD141$","S-1-5-21-925037465-2226837016-4004537459-22327",
"CN=COD142,OU=Computadores,OU=Desenvolvimento,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD142.techlab.br","True","COD142","computer","6305e0e9-bff7-4d22-8477-c619943efd1b","COD142$","S-1-5-21-925037465-2226837016-4004537459-22329",
"CN=COD143,OU=Computadores,OU=Desenvolvimento,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD143.techlab.br","True","COD143","computer","351e4a19-0b68-4138-bdba-0f7a7e0fd419","COD143$","S-1-5-21-925037465-2226837016-4004537459-20892",
"CN=COD144,OU=Computadores,OU=Comercial,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD144.techlab.br","True","COD144","computer","8800b919-8d40-466c-89a0-565a50fedb11","COD144$","S-1-5-21-925037465-2226837016-4004537459-20897",
"CN=COD145,OU=Computadores,OU=Comunicacao,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD145.techlab.br","True","COD145","computer","c8e06a56-3b16-41ce-980a-4dce97b9affc","COD145$","S-1-5-21-925037465-2226837016-4004537459-22330",
"CN=COD146,OU=Computadores,OU=Legislação e Pesquisa,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD146.techlab.br","True","COD146","computer","361a1977-b14a-4f93-9dd9-532a3e958f29","COD146$","S-1-5-21-925037465-2226837016-4004537459-20898",
"CN=COD147,OU=Computadores,OU=Legislação e Pesquisa,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD147.techlab.br","True","COD147","computer","e1690ac9-bf6e-4791-bd93-601afe0656a8","COD147$","S-1-5-21-925037465-2226837016-4004537459-20899",
"CN=COD148,OU=Computadores,OU=Legislação e Pesquisa,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD148.techlab.br","True","COD148","computer","3670c3fa-18bf-454a-9b41-e7f8afbd9358","COD148$","S-1-5-21-925037465-2226837016-4004537459-20900",
"CN=COD150,OU=Computadores,OU=Legislação e Pesquisa,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD150.techlab.br","True","COD150","computer","547913da-2d6a-4b4b-a553-8e437112276e","COD150$","S-1-5-21-925037465-2226837016-4004537459-22331",
"CN=COD149,OU=Computadores,OU=Legislação e Pesquisa,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD149.techlab.br","True","COD149","computer","51a8099b-5e7f-4776-ad1d-b7076024da86","COD149$","S-1-5-21-925037465-2226837016-4004537459-22332",
"CN=COD152,OU=Computadores,OU=Internacional,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD152.techlab.br","True","COD152","computer","7c48f0bc-46c5-4f49-b7ce-ba699d502fc8","COD152$","S-1-5-21-925037465-2226837016-4004537459-22333",
"CN=COD151,OU=Computadores,OU=Internacional,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD151.techlab.br","True","COD151","computer","4b6c3921-34d8-4d07-8779-57d825058b08","COD151$","S-1-5-21-925037465-2226837016-4004537459-22334",
"CN=COD153,OU=Computadores,OU=Administrativo - Financeiro,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD153.techlab.br","True","COD153","computer","bd5e402e-9ec1-49c3-808c-19eeeea09e88","COD153$","S-1-5-21-925037465-2226837016-4004537459-22335",
"CN=COD154,OU=Computadores,OU=Administrativo - Financeiro,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD154.techlab.br","True","COD154","computer","74e81395-2949-4d2b-9714-a4d140c2c8c8","COD154$","S-1-5-21-925037465-2226837016-4004537459-20901",
"CN=COD155,OU=Computadores,OU=Administrativo - Financeiro,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD155.techlab.br","True","COD155","computer","ba201a0f-0fa2-47be-bff7-fd55a52109ac","COD155$","S-1-5-21-925037465-2226837016-4004537459-22336",
"CN=COD156,OU=Computadores,OU=Administrativo - Financeiro,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD156.techlab.br","True","COD156","computer","bb2dca0c-abc7-4e7f-afd0-362627ac23ae","COD156$","S-1-5-21-925037465-2226837016-4004537459-22337",
"CN=COD157,OU=Computadores,OU=Administrativo - Financeiro,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD157.techlab.br","True","COD157","computer","7c7730fe-cb07-4206-bf7c-1dbf1421aa4b","COD157$","S-1-5-21-925037465-2226837016-4004537459-22338",
"CN=COD158,OU=Computadores,OU=Administrativo - Financeiro,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD158.techlab.br","True","COD158","computer","2c77ac25-b25d-428b-beef-dacc40a0e2e1","COD158$","S-1-5-21-925037465-2226837016-4004537459-22339",
"CN=COD159,OU=Computadores,OU=Administrativo - Financeiro,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD159.techlab.br","True","COD159","computer","030cc306-86f8-4cc0-84a4-0247c50a00be","COD159$","S-1-5-21-925037465-2226837016-4004537459-20902",
"CN=COD160,OU=Computadores,OU=Administrativo - Financeiro,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD160.techlab.br","True","COD160","computer","19a23ffd-2579-4c02-9388-6136a0f7de05","COD160$","S-1-5-21-925037465-2226837016-4004537459-20903",
"CN=COD161,OU=Computadores,OU=Administrativo - Financeiro,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD161.techlab.br","True","COD161","computer","456204ab-0808-4145-ac35-71f3e5962c4a","COD161$","S-1-5-21-925037465-2226837016-4004537459-20904",
"CN=COD162,OU=Computadores,OU=Administrativo - Financeiro,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD162.techlab.br","True","COD162","computer","e7163da6-9a73-46b6-9bba-cf4f3ce00fe1","COD162$","S-1-5-21-925037465-2226837016-4004537459-20905",
"CN=COD163,OU=Computadores,OU=Administrativo - Financeiro,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD163.techlab.br","True","COD163","computer","1e52b2b4-c6d2-420d-b957-345be222ac1c","COD163$","S-1-5-21-925037465-2226837016-4004537459-20907",
"CN=COD164,OU=Computadores,OU=Administrativo - Financeiro,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD164.techlab.br","True","COD164","computer","50a2a84a-437e-4040-bc5c-825387b9f445","COD164$","S-1-5-21-925037465-2226837016-4004537459-20908",
"CN=COD165,OU=Computadores,OU=Comunicacao,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD165.techlab.br","True","COD165","computer","790903f1-d8a2-4d62-8a95-62bdbe93150b","COD165$","S-1-5-21-925037465-2226837016-4004537459-20909",
"CN=COD166,OU=Computadores,OU=Comunicacao,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD166.techlab.br","True","COD166","computer","d7d8d487-2c5e-464d-a8f9-f5bf2d531ac7","COD166$","S-1-5-21-925037465-2226837016-4004537459-20910",
"CN=COD175,OU=Computadores,OU=Comunicacao,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD175.techlab.br","True","COD175","computer","eaf20bed-4661-43fd-b7a7-cc2674de0e13","COD175$","S-1-5-21-925037465-2226837016-4004537459-22341",
"CN=COD168,OU=Desenvolvimento,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD168.techlab.br","True","COD168","computer","d8ef0548-95f5-4ca0-901a-fdd26404540d","COD168$","S-1-5-21-925037465-2226837016-4004537459-22343",
"CN=COD169,OU=Computadores,OU=Legislação e Pesquisa,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD169.techlab.br","True","COD169","computer","e82607ff-bb2e-43e8-90dd-17fd257ac636","COD169$","S-1-5-21-925037465-2226837016-4004537459-20911",
"CN=COD453,OU=Computers,OU=SNAPSE,OU=Terceiros,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD453.techlab.br","True","COD453","computer","88dc3aad-6f98-44af-89e8-ca1cc1230b62","COD453$","S-1-5-21-925037465-2226837016-4004537459-20917",
"CN=COD288,OU=Computers,OU=SNAPSE,OU=Terceiros,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD288.techlab.br","True","COD288","computer","6a3e3b5c-f33e-4ae2-ac27-7a2ce611358b","COD288$","S-1-5-21-925037465-2226837016-4004537459-20918",
"CN=COD170,OU=Computadores,OU=Consultoria ESG,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD170.techlab.br","True","COD170","computer","4580be30-a189-4512-aed9-52eaf16cddc5","COD170$","S-1-5-21-925037465-2226837016-4004537459-20919",
"CN=COD171,OU=Computadores,OU=Legislação e Pesquisa,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD171.techlab.br","True","COD171","computer","05c74a16-5b8b-4a81-9e4a-e820e6ebd236","COD171$","S-1-5-21-925037465-2226837016-4004537459-22344",
"CN=COD172,OU=Computadores,OU=Legislação e Pesquisa,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD172.techlab.br","True","COD172","computer","223d641a-f1cf-48ab-90e2-5a63528ac424","COD172$","S-1-5-21-925037465-2226837016-4004537459-22345",
"CN=COD173,OU=Computadores,OU=Suporte,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD173.techlab.br","True","COD173","computer","bdd33f86-249c-4c10-a2a2-7881569dae0d","COD173$","S-1-5-21-925037465-2226837016-4004537459-20920",
"CN=COD167,OU=Computadores,OU=Legislação e Pesquisa,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD167.techlab.br","True","COD167","computer","bb8d58b7-5c3a-481a-93ba-08fc4e73b338","COD167$","S-1-5-21-925037465-2226837016-4004537459-20921",
"CN=COD174,OU=Computadores,OU=Comunicacao,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD174.techlab.br","True","COD174","computer","237841cc-32e4-4ad0-9dfb-8e31c232906c","COD174$","S-1-5-21-925037465-2226837016-4004537459-20922",
"CN=COD564,OU=Computadores,OU=Bravo,OU=SP,OU=techlab_Brasil,DC=techlab,DC=br","COD564.techlab.br","True","COD564","computer","d797217d-debd-46a1-8504-b44720804f24","COD564$","S-1-5-21-925037465-2226837016-4004537459-22351",
"CN=COD176,OU=Computadores,OU=Desenvolvimento,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD176.techlab.br","True","COD176","computer","b86b0555-f5a8-4911-8fc1-0eca1814e9cd","COD176$","S-1-5-21-925037465-2226837016-4004537459-20924",
"CN=COD397,OU=Computadores,OU=Bravo,OU=SP,OU=techlab_Brasil,DC=techlab,DC=br","COD397.techlab.br","True","COD397","computer","d14da565-1fd8-432e-a966-9726d0bff9c2","COD397$","S-1-5-21-925037465-2226837016-4004537459-20926",
"CN=COD270,OU=Computadores,OU=Bravo,OU=SP,OU=techlab_Brasil,DC=techlab,DC=br","COD270.techlab.br","True","COD270","computer","2010dff0-d458-4910-bafe-fac49d2db32c","COD270$","S-1-5-21-925037465-2226837016-4004537459-22353",
"CN=COD291,OU=Computadores,OU=Bravo,OU=SP,OU=techlab_Brasil,DC=techlab,DC=br","COD291.techlab.br","True","COD291","computer","e7d0642b-36b8-40e4-90bb-6a6e6913d507","COD291$","S-1-5-21-925037465-2226837016-4004537459-22354",
"CN=COD265,OU=Computadores,OU=Bravo,OU=SP,OU=techlab_Brasil,DC=techlab,DC=br","COD265.techlab.br","True","COD265","computer","d7f27d05-0689-4cf0-a692-d608945531c0","COD265$","S-1-5-21-925037465-2226837016-4004537459-20934",
"CN=COD432,OU=Computadores,OU=Bravo,OU=SP,OU=techlab_Brasil,DC=techlab,DC=br","COD432.techlab.br","True","COD432","computer","52acfcdf-9cf8-45f3-bb02-a891552574c9","COD432$","S-1-5-21-925037465-2226837016-4004537459-22355",
"CN=COD273,OU=Computadores,OU=Bravo,OU=SP,OU=techlab_Brasil,DC=techlab,DC=br","COD273.techlab.br","True","COD273","computer","2a0fa687-f0d0-443e-9f9d-487cfa1b56ea","COD273$","S-1-5-21-925037465-2226837016-4004537459-22356",
"CN=COD74,OU=Computadores,OU=Comercial,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD74.techlab.br","True","COD74","computer","c9702b3c-e280-4313-85ab-f25611526642","COD74$","S-1-5-21-925037465-2226837016-4004537459-22357",
"CN=COD32,OU=Computadores,OU=Comercial,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD32.techlab.br","True","COD32","computer","d206b5e6-52ac-40f9-8df5-3bb8d733e19f","COD32$","S-1-5-21-925037465-2226837016-4004537459-20936",
"CN=COD70,OU=Computadores,OU=Legislação e Pesquisa,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD70.techlab.br","True","COD70","computer","ad54daf4-4d09-482d-a6cb-ac36ce15c09b","COD70$","S-1-5-21-925037465-2226837016-4004537459-20937",
"CN=COD289,OU=Computadores,OU=Bravo,OU=SP,OU=techlab_Brasil,DC=techlab,DC=br","COD289.techlab.br","True","COD289","computer","888b2eda-c75e-4d39-a6e2-8511fe6282b7","COD289$","S-1-5-21-925037465-2226837016-4004537459-20938",
"CN=COD24,OU=Computadores,OU=Comercial,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD24.techlab.br","True","COD24","computer","4dafe9f0-59db-4239-abca-bdeb0610b9c4","COD24$","S-1-5-21-925037465-2226837016-4004537459-22358",
"CN=MCHINE02,OU=Computadores,OU=Ambito,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","MCHINE02.techlab.br","True","MCHINE02","computer","21ba27af-0e8f-4675-886f-3ddabcd3e1c5","MCHINE02$","S-1-5-21-925037465-2226837016-4004537459-20939",
"CN=COD08,OU=Computadores,OU=Desenvolvimento,OU=TI,OU=Matriz,OU=MA,OU=techlab_Brasil,DC=techlab,DC=br","COD08.techlab.br","True","COD08","computer","c693af5b-820b-4b06-b424-3fbc98dfbee2","COD08$","S-1-5-21-925037465-2226837016-4004537459-20941",
